jugador_id,nombre,posicion,pais,fecha_nacimiento,edad_al_inicio_2026,elegible_mejor_joven,partidos_clasificatoria,minutos_clasificatoria,goles_clasificatoria,asistencias_clasificatoria,tarjetas_amarillas,tarjetas_rojas,partidos_invicto,goles_recibidos_portero,paradas_portero,porcentaje_paradas,penales_atajados,club_actual,valor_mercado_millon_eur,puntuacion_golden_ball_aprox
31,Alexander Sørloth,Delantero,Noruega,05/12/1995,30,No,8,640,5,3,0,0,0,0,0,0,0,Atlético de Madrid,45,71
32,Ørjan Nyland,Portero,Noruega,10/09/1990,35,No,8,720,0,0,0,0,8,5,16,76.2,0,Ipswich,5,62
33,Lautaro Martínez,Delantero,Argentina,22/08/1997,28,No,16,1300,9,4,2,0,0,0,0,0,0,Inter Milán,120,86
34,Rodrigo De Paul,Mediocampista,Argentina,24/05/1994,31,No,16,1350,2,6,3,1,0,0,0,0,0,Atlético de Madrid,30,72
35,Bukayo Saka,Extremo,Inglaterra,05/09/2001,24,No,5,420,3,5,0,0,0,0,0,0,0,Arsenal,160,83
36,Robert Lewandowski,Delantero,Polonia,21/08/1988,37,No,0,0,0,0,0,0,0,0,0,0,0,Barcelona,12,65
37,Jamal Musiala,Mediocampista,Alemania,26/02/2003,22,Sí,6,510,4,6,0,0,0,0,0,0,0,Bayern Múnich,160,86
38,Florian Wirtz,Mediocampista,Alemania,03/05/2003,22,Sí,6,495,3,7,0,0,0,0,0,0,0,Bayer Leverkusen,170,88
39,Kai Havertz,Delantero,Alemania,11/06/1999,26,No,6,490,5,3,1,0,0,0,0,0,0,Arsenal,70,77
40,Manuel Neuer,Portero,Alemania,27/03/1986,39,No,6,540,0,0,0,0,5,7,21,75.0,0,Bayern Múnich,5,70
41,Romelu Lukaku,Delantero,Bélgica,13/05/1993,32,No,6,490,7,3,2,0,0,0,0,0,0,Nápoles,30,70
42,Kevin De Bruyne,Mediocampista,Bélgica,28/06/1991,34,No,5,430,2,6,1,0,0,0,0,0,0,Manchester City,20,76
43,Lois Openda,Delantero,Bélgica,16/02/2000,26,No,6,480,6,2,0,0,0,0,0,0,0,Leipzig,70,73
44,Koen Casteels,Portero,Bélgica,25/06/1992,33,No,6,540,0,0,0,0,5,9,28,75.7,0,Al-Qadsiah,8,70
45,Luka Modrić,Mediocampista,Croacia,09/09/1985,40,No,6,520,2,4,1,0,0,0,0,0,0,Real Madrid,8,72
46,Andrej Kramarić,Delantero,Croacia,19/06/1991,34,No,6,510,6,3,1,0,0,0,0,0,0,Hoffenheim,18,70
47,Lovro Majer,Mediocampista,Croacia,17/01/1998,28,No,6,480,2,5,1,0,0,0,0,0,0,Real Sociedad,35,71
48,Dominik Livaković,Portero,Croacia,09/01/1995,31,No,6,540,0,0,0,0,4,5,22,81.5,1,Fenerbahce,18,73
49,Tomáš Souček,Mediocampista,Chequia,27/02/1995,31,No,6,540,4,2,0,0,0,0,0,0,0,West Ham,20,65
50,Patrik Schick,Delantero,Chequia,24/01/1996,30,No,5,430,5,2,1,0,0,0,0,0,0,Bayer Leverkusen,35,68
51,Antonín Barák,Mediocampista,Chequia,03/12/1994,31,No,6,480,2,3,1,0,0,0,0,0,0,Fiorentina,15,62
52,Jindřich Staněk,Portero,Chequia,27/04/1996,29,No,6,540,0,0,0,0,3,4,17,81.0,0,Slavia Praga,8,63
53,Andy Robertson,Defensa,Escocia,11/03/1994,32,No,6,520,0,4,0,0,0,0,0,0,0,Liverpool,25,68
54,Scott McTominay,Mediocampista,Escocia,08/12/1996,29,No,6,510,4,3,1,0,0,0,0,0,0,Nápoles,45,71
55,Che Adams,Delantero,Escocia,13/07/1996,29,No,5,390,4,2,0,0,0,0,0,0,0,Torino,12,65
56,Angus Gunn,Portero,Escocia,22/01/1996,30,No,5,450,0,0,0,0,3,5,18,78.3,0,Norwich City,5,60
57,James Rodríguez,Mediocampista,Colombia,12/07/1991,34,No,17,1430,3,9,2,0,0,0,0,0,0,Rayo Vallecano,5,65
58,Luis Díaz,Extremo,Colombia,13/01/1997,29,No,16,1280,6,5,2,0,0,0,0,0,0,Liverpool,110,80
59,Radamel Falcao,Delantero,Colombia,10/02/1986,40,No,10,650,5,2,1,0,0,0,0,0,0,Rayo Vallecano,2,58
60,Camilo Vargas,Portero,Colombia,06/04/1992,33,No,17,1530,0,0,0,0,7,22,60,73.2,0,Atlas,5,65
61,Sadio Mané,Delantero,Senegal,10/04/1992,33,No,10,840,5,4,1,0,0,0,0,0,0,Al-Nassr,15,68
62,Ismaïla Sarr,Extremo,Senegal,25/02/1998,28,No,10,780,5,5,1,0,0,0,0,0,0,Crystal Palace,30,68
63,Idrissa Gueye,Mediocampista,Senegal,26/09/1989,36,No,8,680,1,2,2,0,0,0,0,0,0,Everton,5,58
64,Édouard Mendy,Portero,Senegal,01/03/1992,34,No,10,900,0,0,0,0,7,8,26,76.5,0,Al-Ahli,12,64
65,Hiroki Ito,Defensa,Japón,12/05/1999,26,No,10,870,0,1,1,0,0,0,0,0,0,Bayern Múnich,40,71
66,Daichi Kamada,Mediocampista,Japón,05/08/1996,29,No,10,830,5,6,1,0,0,0,0,0,0,Crystal Palace,20,72
67,Ayase Ueda,Delantero,Japón,28/08/1998,27,No,10,780,7,3,0,0,0,0,0,0,0,Feyenoord,25,72
68,Zion Suzuki,Portero,Japón,11/08/2002,23,Sí,10,900,0,0,0,0,6,6,22,78.6,0,PSV Eindhoven,20,68
69,Granit Xhaka,Mediocampista,Suiza,27/09/1992,33,No,6,540,2,5,1,0,0,0,0,0,0,Bayer Leverkusen,15,72
70,Breel Embolo,Delantero,Suiza,14/02/1997,29,No,6,480,5,2,1,0,0,0,0,0,0,Mónaco,25,68
71,Xherdan Shaqiri,Extremo,Suiza,10/10/1991,34,No,5,380,2,3,0,0,0,0,0,0,0,Chicago Fire,3,58
72,Yann Sommer,Portero,Suiza,17/12/1988,37,No,6,540,0,0,0,0,5,5,17,77.3,0,Inter Milán,8,72
73,Serdar Azmoun,Delantero,Irán,01/01/1995,31,No,10,780,5,3,1,0,0,0,0,0,0,Bayer Leverkusen,12,65
74,Mehdi Taremi,Delantero,Irán,18/07/1992,33,No,10,820,6,4,2,0,0,0,0,0,0,Inter Milán,25,67
75,Ali Beiranvand,Portero,Irán,14/09/1992,33,No,10,900,0,0,0,0,6,22,60,73.2,0,Persepolis,2,58
76,Marko Arnautović,Delantero,Austria,19/04/1989,36,No,6,480,8,2,1,0,0,0,0,0,0,Inter Milán,5,62
77,Marcel Sabitzer,Mediocampista,Austria,17/03/1994,32,No,6,500,3,4,1,0,0,0,0,0,0,Dortmund,25,68
78,Enner Valencia,Delantero,Ecuador,04/11/1989,36,No,18,1540,5,2,2,0,0,0,0,0,0,Internacional,3,55
79,Jeremy Sarmiento,Extremo,Ecuador,16/06/2002,23,Sí,12,820,3,4,0,0,0,0,0,0,0,Brighton,18,65
80,Kendry Páez,Mediocampista,Ecuador,14/01/2007,18,Sí,8,550,2,3,0,0,0,0,0,0,0,Chelsea,40,68
81,Alexander Domínguez,Portero,Ecuador,05/06/1987,38,No,18,1620,0,0,0,0,8,9,28,75.7,0,Liga de Quito,2,55
82,Salem Al-Dawsari,Extremo,Arabia Saudí,01/08/1991,34,No,10,820,4,3,2,0,0,0,0,0,0,Al-Hilal,15,62
83,Mohammed Al-Owais,Portero,Arabia Saudí,25/02/1991,35,No,10,900,0,0,0,0,5,18,52,74.3,0,Al-Hilal,5,60
84,Hwang Hee-chan,Delantero,Corea del Sur,26/01/1996,30,No,10,760,5,4,0,0,0,0,0,0,0,Wolverhampton,25,68
85,Son Heung-min,Extremo,Corea del Sur,08/07/1992,33,No,9,790,6,5,1,0,0,0,0,0,0,Tottenham,30,72
86,Lee Kang-in,Mediocampista,Corea del Sur,19/02/2001,25,No,10,780,4,7,1,0,0,0,0,0,0,PSG,55,75
87,Kim Seung-gyu,Portero,Corea del Sur,30/09/1990,35,No,10,900,0,0,0,0,6,8,28,77.8,0,Vissel Kobe,3,58
88,Matthew Ryan,Portero,Australia,08/04/1992,33,No,10,900,0,0,0,0,5,10,30,75.0,0,Real Sociedad,5,60
89,Mitchell Duke,Delantero,Australia,18/01/1991,35,No,10,760,4,2,1,0,0,0,0,0,0,Fagiano Okayama,1,55
90,Mustafa Muhammed,Delantero,Egipto,12/12/1997,28,No,10,800,7,3,1,0,0,0,0,0,0,Galatasaray,20,68
91,Omar Marmoush,Extremo,Egipto,07/02/1999,27,No,10,780,6,5,1,0,0,0,0,0,0,Manchester City,80,76
92,Achraf Hakimi,Defensa,Marruecos,04/11/1998,27,No,10,840,3,5,1,0,0,0,0,0,0,PSG,90,80
93,Hakim Ziyech,Extremo,Marruecos,19/03/1993,33,No,9,740,3,5,1,0,0,0,0,0,0,Galatasaray,20,68
94,Yassine Bounou,Portero,Marruecos,05/04/1991,34,No,10,900,0,0,0,0,8,8,26,76.5,0,Al-Hilal,12,72
95,Dodi Lukébakio,Extremo,Bélgica,24/09/1997,28,No,6,450,4,3,0,0,0,0,0,0,0,Sevilla,25,65
96,Mohamed Amoura,Delantero,Argelia,17/12/1999,26,No,10,820,7,4,1,0,0,0,0,0,0,Stuttgart,35,72
97,Riyad Mahrez,Extremo,Argelia,21/02/1991,35,No,8,640,3,5,1,0,0,0,0,0,0,Al-Ahli,15,62
98,Jonathan Tah,Defensa,Alemania,11/02/1996,30,No,6,510,1,0,1,0,0,0,0,0,0,Bayer Leverkusen,30,68
99,Désiré Doué,Extremo,Francia,03/06/2005,20,Sí,3,180,1,2,0,0,0,0,0,0,0,PSG,90,75
100,Mikel Merino,Mediocampista,España,22/06/1996,29,No,6,510,6,6,1,0,0,0,0,0,0,Arsenal,50,76
101,Kenan Yildiz,Extremo,Turquía,04/12/2005,20,Sí,6,480,5,4,0,0,0,0,0,0,0,Juventus,80,78
102,Hakan Çalhanoğlu,Mediocampista,Turquía,08/02/1994,32,No,6,510,3,4,1,0,0,0,0,0,0,Inter Milán,40,73
103,Ugurcan Çakır,Portero,Turquía,11/04/1996,29,No,6,540,0,0,0,0,3,6,20,76.9,0,Trabzonspor,8,63
104,Sébastien Haller,Delantero,Costa de Marfil,22/06/1994,31,No,10,820,7,3,1,0,0,0,0,0,0,Dortmund,18,65
105,Franck Kessié,Mediocampista,Costa de Marfil,19/12/1996,29,No,10,830,2,4,3,0,0,0,0,0,0,Al-Ahli,10,62
106,Simon Adingra,Extremo,Costa de Marfil,02/01/2002,24,No,10,720,4,5,1,0,0,0,0,0,0,Brighton,25,68
107,Yahia Fofana,Portero,Costa de Marfil,19/06/1995,30,No,10,900,0,0,0,0,8,4,14,77.8,0,Leicester City,8,62
108,Thomas Partey,Mediocampista,Ghana,13/06/1993,32,No,10,810,1,3,2,0,0,0,0,0,0,Arsenal,20,63
109,Mohammed Kudus,Extremo,Ghana,02/08/2000,25,No,10,790,5,4,1,0,0,0,0,0,0,West Ham,60,73
110,Antoine Semenyo,Extremo,Ghana,08/01/2000,26,No,8,620,4,3,0,0,0,0,0,0,0,Bournemouth,25,65
111,Lawrence Ati-Zigi,Portero,Ghana,02/11/1996,29,No,10,900,0,0,0,0,5,8,26,76.5,0,St. Gallen,5,58
112,Senol Günes,Entrenador,Turquía,01/01/1952,74,No,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0
113,Ismail Jakobs,Defensa,Senegal,16/08/1999,26,No,8,660,0,3,0,0,0,0,0,0,0,Mónaco,18,63
114,Nicolas Jackson,Delantero,Senegal,20/06/2001,24,No,8,620,5,3,1,0,0,0,0,0,0,Chelsea,65,72
115,Aleksandar Mitrović,Delantero,Bosnia y Herz.,16/09/1994,31,No,6,500,5,2,1,0,0,0,0,0,0,Al-Hilal,20,62
116,Edin Džeko,Delantero,Bosnia y Herz.,17/03/1986,40,No,5,380,2,1,0,0,0,0,0,0,0,Fenerbahce,3,55
117,Blaž Kramer,Delantero,Eslovenia,27/05/1997,28,No,0,0,0,0,0,0,0,0,0,0,0,Utrecht,8,55
118,Jordan Bayer,Mediocampista,Curazao,30/04/1998,27,No,10,750,2,4,1,0,0,0,0,0,0,Club Brugge,6,55
119,Leandro Bacuna,Mediocampista,Curazao,21/08/1991,34,No,10,790,3,3,1,0,0,0,0,0,0,Birmingham City,2,52
120,Tyronne Ebuehi,Defensa,Curazao,16/12/1995,30,No,10,820,0,2,2,0,0,0,0,0,0,0,Venezia,5,50
121,Chris Wood,Delantero,Nueva Zelanda,07/12/1991,34,No,6,480,9,3,1,0,0,0,0,0,0,Nottingham Forest,12,63
122,Joe Bell,Mediocampista,Nueva Zelanda,15/04/1998,27,No,6,520,1,3,0,0,0,0,0,0,0,Columbus Crew,4,52
123,Oliver Sail,Portero,Nueva Zelanda,23/04/1995,30,No,6,540,0,0,0,0,5,4,12,75.0,0,Nottingham Forest,4,55
124,Antony Lozano,Delantero,Haití,26/04/1993,32,No,10,800,5,3,1,0,0,0,0,0,0,Getafe,8,58
125,Duckens Nazon,Extremo,Haití,16/05/1994,31,No,10,780,4,4,1,0,0,0,0,0,0,Pafos FC,3,55
126,Rolando Blackburn,Delantero,Panamá,06/01/1995,31,No,10,760,5,2,0,0,0,0,0,0,0,Adana Demirspor,3,55
127,José Fajardo,Delantero,Panamá,18/11/1997,28,No,10,750,4,3,1,0,0,0,0,0,0,Deportivo Saprissa,2,52
128,César Yanis,Mediocampista,Panamá,12/03/1995,31,No,10,800,2,4,0,0,0,0,0,0,0,San Jose Earthquakes,3,52
129,Luis Mejía,Portero,Panamá,24/11/1996,29,No,10,900,0,0,0,0,6,9,28,75.7,0,Troyes,3,53
130,Diego Alves,Portero,Curazao,08/06/1985,40,No,8,720,0,0,0,0,5,10,32,76.2,0,Independiente,1,45
131,Carlos Coronel,Portero,Curazao,10/10/1996,29,No,5,450,0,0,0,0,3,6,20,76.9,0,Red Bulls New York,2,50
132,Rúben Dias,Defensa,Portugal,14/05/1997,28,No,6,540,0,0,0,0,0,0,0,0,0,0,Manchester City,80,78
133,Pedri González,Mediocampista,España,25/11/2002,23,Sí,5,450,2,5,1,0,0,0,0,0,0,Barcelona,120,83
134,Ferran Torres,Delantero,España,29/02/2000,26,No,6,460,5,4,0,0,0,0,0,0,0,Barcelona,30,70
135,Bukayo Saka,Extremo,Inglaterra,05/09/2001,24,No,5,440,4,5,0,0,0,0,0,0,0,Arsenal,160,82
136,Iñaki Williams,Delantero,Ghana,15/06/1994,31,No,10,820,5,3,1,0,0,0,0,0,0,Athletic Club,25,65
137,Gonçalo Ramos,Delantero,Portugal,20/06/2001,24,No,5,400,6,3,0,0,0,0,0,0,0,PSG,80,76
138,João Neves,Mediocampista,Portugal,27/09/2004,21,Sí,5,420,2,4,0,0,0,0,0,0,0,PSG,120,80
139,Estêvão Willian,Extremo,Brasil,24/04/2007,18,Sí,6,380,3,4,0,0,0,0,0,0,0,Chelsea,80,76
140,Warren Zaïre-Emery,Mediocampista,Francia,08/03/2006,19,Sí,3,210,1,2,0,0,0,0,0,0,0,PSG,80,76
141,Pau Cubarsí,Defensa,España,22/01/2007,18,Sí,5,450,0,1,0,0,5,0,0,0,0,Barcelona,80,76
142,Kobbie Mainoo,Mediocampista,Inglaterra,19/04/2005,20,Sí,4,320,1,2,1,0,0,0,0,0,0,Manchester United,50,72
143,Arda Güler,Mediocampista,Turquía,25/02/2005,20,Sí,5,400,3,4,0,0,0,0,0,0,0,Real Madrid,80,76
144,Sandro Tonali,Mediocampista,Italia,05/05/2000,25,No,0,0,0,0,0,0,0,0,0,0,0,Newcastle,60,72
145,Youssouf Fofana,Mediocampista,Francia,10/01/1999,27,No,4,310,1,1,0,0,0,0,0,0,0,AC Milan,45,68
146,Eduardo Camavinga,Mediocampista,Francia,10/11/2002,23,Sí,3,210,0,1,0,0,0,0,0,0,0,Real Madrid,90,75
147,Alejandro Garnacho,Extremo,Argentina,01/07/2004,21,Sí,10,780,4,3,1,0,0,0,0,0,0,Manchester United,80,76
148,Mohammed Salisu,Defensa,Ghana,07/04/1999,26,No,10,840,1,0,1,0,0,0,0,0,0,Monaco,18,60
149,Seko Fofana,Mediocampista,Costa de Marfil,07/05/1995,30,No,10,800,3,5,2,0,0,0,0,0,0,Al-Qadsiah,15,62
150,Rodrigo Bentancur,Mediocampista,Uruguay,25/06/1997,28,No,17,1430,2,4,2,0,0,0,0,0,0,Tottenham,35,68
151,Darwin Núñez,Delantero,Uruguay,24/06/2000,25,No,14,1050,6,4,3,1,0,0,0,0,0,Liverpool,100,76
152,Federico Valverde,Mediocampista,Uruguay,22/07/1998,27,No,18,1560,4,6,2,0,0,0,0,0,0,Real Madrid,120,79
153,Sergio Rochet,Portero,Uruguay,07/03/1993,33,No,17,1530,0,0,0,0,10,10,26,72.2,0,Nacional,6,63
154,Miguel Almirón,Mediocampista,Paraguay,10/02/1994,32,No,18,1500,3,5,3,0,0,0,0,0,0,Newcastle,20,63
155,Antonio Sanabria,Delantero,Paraguay,04/03/1996,30,No,15,1200,5,2,2,0,0,0,0,0,0,Torino,12,60
156,Gustavo Gómez,Defensa,Paraguay,06/05/1993,32,No,18,1620,2,1,2,0,0,0,0,0,0,Palmeiras,10,60
157,Antony Silva,Portero,Paraguay,26/08/1984,41,No,16,1440,0,0,0,0,10,12,34,73.9,0,Cerro Porteño,1,52
158,Ali Mabkhout,Delantero,Emiratos Árabes,18/11/1990,35,No,10,760,5,3,1,0,0,0,0,0,0,Al-Jazira,5,52
159,Yahia Al-Hamdan,Delantero,Arabia Saudí,19/07/1995,30,No,10,780,4,3,1,0,0,0,0,0,0,Al-Hilal,6,55
160,Almoez Ali,Delantero,Qatar,19/08/1996,29,No,10,820,7,4,1,0,0,0,0,0,0,Al-Duhail,8,60
161,Akram Afif,Extremo,Qatar,18/11/1996,29,No,10,810,5,6,0,0,0,0,0,0,0,Al-Sadd,10,62
162,Meshaal Barsham,Portero,Qatar,10/02/1997,29,No,10,900,0,0,0,0,5,15,44,74.6,0,Al-Sadd,4,56
163,Eldor Shomurodov,Delantero,Uzbekistán,06/07/1995,30,No,10,780,5,3,1,0,0,0,0,0,0,Roma,12,60
164,Abdukodir Khusanov,Defensa,Uzbekistán,07/09/2001,24,No,10,840,0,2,1,0,0,0,0,0,0,Manchester City,35,63
165,Khurshid Makhmudov,Mediocampista,Uzbekistán,12/03/2000,25,No,10,800,2,4,0,0,0,0,0,0,0,FC Navbahor,2,52
166,Zafar Khushkeldi,Portero,Uzbekistán,01/07/1995,30,No,10,900,0,0,0,0,5,8,24,75.0,0,FC Pakhtakor,1,48
167,Ya Konan,Mediocampista,Costa de Marfil,29/03/2000,25,No,10,770,1,3,0,0,0,0,0,0,0,Anderlecht,10,56
168,Yasuhito Uchida,Mediocampista,Japón,14/03/1982,44,No,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0
169,Gakuto Notsuda,Mediocampista,Japón,18/06/2000,25,No,8,580,2,3,0,0,0,0,0,0,0,Wolfsburg,12,60
170,Marcos López,Defensa,Perú,31/07/1997,28,No,0,0,0,0,0,0,0,0,0,0,0,Feyenoord,12,0
171,Victor Osimhen,Delantero,Nigeria,29/12/1998,27,No,0,0,0,0,0,0,0,0,0,0,0,Galatasaray,80,0
172,Sébastien Haller,Delantero,Costa de Marfil,22/06/1994,31,No,10,820,8,4,1,0,0,0,0,0,0,Dortmund,18,66
173,Roméo Lavia,Mediocampista,Bélgica,06/01/2004,22,Sí,5,380,0,2,1,0,0,0,0,0,0,Chelsea,60,70
174,Dani Olmo,Mediocampista,España,07/05/1998,27,No,6,490,4,5,0,0,0,0,0,0,0,Barcelona,60,78
175,Declan Rice,Mediocampista,Inglaterra,14/01/1999,27,No,5,450,2,4,0,0,0,0,0,0,0,Arsenal,100,78
176,Gavi,Mediocampista,España,05/02/2004,21,Sí,5,410,2,3,0,0,0,0,0,0,0,Barcelona,80,76
177,Joshua Kimmich,Defensa/MC,Alemania,08/02/1995,31,No,6,540,1,6,0,0,0,0,0,0,0,Bayern Múnich,60,76
178,Takefusa Kubo,Extremo,Japón,04/06/2001,24,No,9,740,4,5,0,0,0,0,0,0,0,Real Sociedad,50,74
179,Ibrahim Sangaré,Mediocampista,Costa de Marfil,02/04/1997,28,No,10,820,1,2,2,0,0,0,0,0,0,Nottingham Forest,25,60
180,Thelo Aasgaard,Mediocampista,Noruega,17/04/2002,23,Sí,7,540,4,5,0,0,0,0,0,0,0,Preston North End,8,63
